product_id,product_name,category,current_stock,min_stock_level,last_movement_date,warehouse_name
1,Action Figure,Toys,27,8,2026-01-21,Maven Toys Guadalajara 1
2,Animal Figures,Toys,0,5,2026-02-11,Maven Toys Guadalajara 1
3,Barrel O' Slime,Art & Crafts,32,9,2026-02-12,Maven Toys Guadalajara 1
4,Chutes & Ladders,Games,6,5,2026-01-27,Maven Toys Guadalajara 1
5,Classic Dominoes,Games,0,5,2026-01-26,Maven Toys Guadalajara 1
6,Colorbuds,Electronics,79,23,2026-02-11,Maven Toys Guadalajara 1
7,Dart Gun,Sports & Outdoors,5,5,2025-12-29,Maven Toys Guadalajara 1
8,Deck Of Cards,Games,63,18,2026-01-26,Maven Toys Guadalajara 1
9,Dino Egg,Toys,12,5,2026-01-14,Maven Toys Guadalajara 1
10,Dinosaur Figures,Toys,22,6,2026-01-22,Maven Toys Guadalajara 1
11,Etch A Sketch,Art & Crafts,19,5,2026-02-07,Maven Toys Guadalajara 1
12,Foam Disk Launcher,Sports & Outdoors,3,5,2026-01-21,Maven Toys Guadalajara 1
13,Gamer Headphones,Electronics,12,5,2026-02-02,Maven Toys Guadalajara 1
14,Glass Marbles,Games,3,5,2026-02-09,Maven Toys Guadalajara 1
15,Hot Wheels 5-Pack,Toys,2,5,2026-01-22,Maven Toys Guadalajara 1
16,Jenga,Games,8,5,2026-01-20,Maven Toys Guadalajara 1
17,Kids Makeup Kit,Art & Crafts,7,5,2026-01-20,Maven Toys Guadalajara 1
18,Lego Bricks,Toys,11,5,2026-01-27,Maven Toys Guadalajara 1
19,Magic Sand,Art & Crafts,25,7,2025-10-25,Maven Toys Guadalajara 1
20,Mini Basketball Hoop,Sports & Outdoors,11,5,2026-01-31,Maven Toys Guadalajara 1
21,Mini Ping Pong Set,Sports & Outdoors,21,6,2026-02-10,Maven Toys Guadalajara 1
22,Monopoly,Games,2,5,2026-02-15,Maven Toys Guadalajara 1
23,Mr. Potatohead,Toys,1,5,2025-12-07,Maven Toys Guadalajara 1
24,Nerf Gun,Sports & Outdoors,9,5,2026-01-11,Maven Toys Guadalajara 1
25,PlayDoh Can,Art & Crafts,54,16,2026-02-17,Maven Toys Guadalajara 1
26,PlayDoh Playset,Art & Crafts,13,5,2026-02-04,Maven Toys Guadalajara 1
27,PlayDoh Toolkit,Art & Crafts,33,9,2026-02-07,Maven Toys Guadalajara 1
28,Playfoam,Art & Crafts,10,5,2026-02-04,Maven Toys Guadalajara 1
29,Plush Pony,Toys,4,5,2026-02-02,Maven Toys Guadalajara 1
30,Rubik's Cube,Games,44,13,2026-02-11,Maven Toys Guadalajara 1
31,Splash Balls,Sports & Outdoors,7,5,2025-12-21,Maven Toys Guadalajara 1
32,Supersoaker Water Gun,Sports & Outdoors,4,5,2026-02-09,Maven Toys Guadalajara 1
33,Teddy Bear,Toys,2,5,2026-01-21,Maven Toys Guadalajara 1
34,Toy Robot,Electronics,0,5,2025-11-25,Maven Toys Guadalajara 1
35,Uno Card Game,Games,12,5,2026-02-09,Maven Toys Guadalajara 1
1,Action Figure,Toys,0,5,2026-01-06,Maven Toys Monterrey 1
2,Animal Figures,Toys,6,5,2026-01-05,Maven Toys Monterrey 1
3,Barrel O' Slime,Art & Crafts,18,5,2026-01-27,Maven Toys Monterrey 1
6,Colorbuds,Electronics,6,5,2026-01-20,Maven Toys Monterrey 1
7,Dart Gun,Sports & Outdoors,14,5,2026-02-03,Maven Toys Monterrey 1
8,Deck Of Cards,Games,76,22,2026-01-05,Maven Toys Monterrey 1
9,Dino Egg,Toys,0,5,2025-12-25,Maven Toys Monterrey 1
10,Dinosaur Figures,Toys,10,5,2025-10-22,Maven Toys Monterrey 1
11,Etch A Sketch,Art & Crafts,0,5,2026-02-10,Maven Toys Monterrey 1
12,Foam Disk Launcher,Sports & Outdoors,2,5,2026-02-06,Maven Toys Monterrey 1
13,Gamer Headphones,Electronics,3,5,2026-02-12,Maven Toys Monterrey 1
14,Glass Marbles,Games,21,6,2026-02-18,Maven Toys Monterrey 1
15,Hot Wheels 5-Pack,Toys,20,6,2026-01-26,Maven Toys Monterrey 1
17,Kids Makeup Kit,Art & Crafts,12,5,2026-01-31,Maven Toys Monterrey 1
18,Lego Bricks,Toys,38,11,2026-01-17,Maven Toys Monterrey 1
19,Magic Sand,Art & Crafts,35,10,2025-12-24,Maven Toys Monterrey 1
21,Mini Ping Pong Set,Sports & Outdoors,20,6,2026-02-12,Maven Toys Monterrey 1
23,Mr. Potatohead,Toys,8,5,2026-01-22,Maven Toys Monterrey 1
24,Nerf Gun,Sports & Outdoors,39,11,2026-01-12,Maven Toys Monterrey 1
25,PlayDoh Can,Art & Crafts,32,9,2026-02-18,Maven Toys Monterrey 1
26,PlayDoh Playset,Art & Crafts,12,5,2026-01-27,Maven Toys Monterrey 1
27,PlayDoh Toolkit,Art & Crafts,30,9,2026-02-14,Maven Toys Monterrey 1
28,Playfoam,Art & Crafts,2,5,2026-01-12,Maven Toys Monterrey 1
29,Plush Pony,Toys,5,5,2026-02-16,Maven Toys Monterrey 1
30,Rubik's Cube,Games,50,15,2026-02-14,Maven Toys Monterrey 1
31,Splash Balls,Sports & Outdoors,18,5,2025-12-18,Maven Toys Monterrey 1
32,Supersoaker Water Gun,Sports & Outdoors,10,5,2025-12-25,Maven Toys Monterrey 1
33,Teddy Bear,Toys,11,5,2026-02-05,Maven Toys Monterrey 1
34,Toy Robot,Electronics,18,5,2026-02-10,Maven Toys Monterrey 1
1,Action Figure,Toys,17,5,2025-12-25,Maven Toys Guadalajara 2
2,Animal Figures,Toys,8,5,2026-02-06,Maven Toys Guadalajara 2
3,Barrel O' Slime,Art & Crafts,35,10,2026-02-12,Maven Toys Guadalajara 2
6,Colorbuds,Electronics,21,6,2026-01-21,Maven Toys Guadalajara 2
7,Dart Gun,Sports & Outdoors,8,5,2026-01-20,Maven Toys Guadalajara 2
8,Deck Of Cards,Games,44,13,2026-02-12,Maven Toys Guadalajara 2
9,Dino Egg,Toys,4,5,2026-02-08,Maven Toys Guadalajara 2
10,Dinosaur Figures,Toys,54,16,2026-02-06,Maven Toys Guadalajara 2
11,Etch A Sketch,Art & Crafts,13,5,2026-01-23,Maven Toys Guadalajara 2
12,Foam Disk Launcher,Sports & Outdoors,4,5,2026-01-22,Maven Toys Guadalajara 2
13,Gamer Headphones,Electronics,8,5,2025-11-06,Maven Toys Guadalajara 2
14,Glass Marbles,Games,4,5,2026-01-29,Maven Toys Guadalajara 2
15,Hot Wheels 5-Pack,Toys,0,5,2025-12-23,Maven Toys Guadalajara 2
17,Kids Makeup Kit,Art & Crafts,1,5,2026-01-30,Maven Toys Guadalajara 2
18,Lego Bricks,Toys,52,15,2026-01-09,Maven Toys Guadalajara 2
19,Magic Sand,Art & Crafts,33,9,2026-01-27,Maven Toys Guadalajara 2
21,Mini Ping Pong Set,Sports & Outdoors,3,5,2026-01-13,Maven Toys Guadalajara 2
23,Mr. Potatohead,Toys,13,5,2025-12-20,Maven Toys Guadalajara 2
24,Nerf Gun,Sports & Outdoors,15,5,2026-01-20,Maven Toys Guadalajara 2
25,PlayDoh Can,Art & Crafts,44,13,2026-02-06,Maven Toys Guadalajara 2
26,PlayDoh Playset,Art & Crafts,13,5,2026-01-13,Maven Toys Guadalajara 2
27,PlayDoh Toolkit,Art & Crafts,23,6,2026-01-23,Maven Toys Guadalajara 2
28,Playfoam,Art & Crafts,10,5,2026-02-14,Maven Toys Guadalajara 2
29,Plush Pony,Toys,0,5,2026-02-09,Maven Toys Guadalajara 2
30,Rubik's Cube,Games,43,12,2026-02-04,Maven Toys Guadalajara 2
31,Splash Balls,Sports & Outdoors,29,8,2026-01-26,Maven Toys Guadalajara 2
32,Supersoaker Water Gun,Sports & Outdoors,4,5,2026-01-03,Maven Toys Guadalajara 2
33,Teddy Bear,Toys,4,5,2026-01-24,Maven Toys Guadalajara 2
34,Toy Robot,Electronics,7,5,2025-11-12,Maven Toys Guadalajara 2
1,Action Figure,Toys,2,5,2026-02-02,Maven Toys Saltillo 1
2,Animal Figures,Toys,18,5,2026-01-26,Maven Toys Saltillo 1
3,Barrel O' Slime,Art & Crafts,6,5,2026-02-02,Maven Toys Saltillo 1
4,Chutes & Ladders,Games,2,5,2025-11-23,Maven Toys Saltillo 1
5,Classic Dominoes,Games,14,5,2026-02-14,Maven Toys Saltillo 1
6,Colorbuds,Electronics,44,13,2026-02-18,Maven Toys Saltillo 1
7,Dart Gun,Sports & Outdoors,9,5,2026-02-17,Maven Toys Saltillo 1
8,Deck Of Cards,Games,15,5,2026-01-24,Maven Toys Saltillo 1
9,Dino Egg,Toys,27,8,2025-11-19,Maven Toys Saltillo 1
10,Dinosaur Figures,Toys,8,5,2026-01-27,Maven Toys Saltillo 1
11,Etch A Sketch,Art & Crafts,3,5,2025-12-24,Maven Toys Saltillo 1
12,Foam Disk Launcher,Sports & Outdoors,7,5,2026-02-13,Maven Toys Saltillo 1
13,Gamer Headphones,Electronics,4,5,2026-01-30,Maven Toys Saltillo 1
14,Glass Marbles,Games,4,5,2025-11-29,Maven Toys Saltillo 1
15,Hot Wheels 5-Pack,Toys,9,5,2026-02-03,Maven Toys Saltillo 1
16,Jenga,Games,8,5,2026-01-11,Maven Toys Saltillo 1
17,Kids Makeup Kit,Art & Crafts,2,5,2026-02-13,Maven Toys Saltillo 1
18,Lego Bricks,Toys,17,5,2026-02-16,Maven Toys Saltillo 1
19,Magic Sand,Art & Crafts,2,5,2026-01-23,Maven Toys Saltillo 1
20,Mini Basketball Hoop,Sports & Outdoors,13,5,2026-01-24,Maven Toys Saltillo 1
21,Mini Ping Pong Set,Sports & Outdoors,24,7,2026-01-31,Maven Toys Saltillo 1
22,Monopoly,Games,5,5,2026-02-12,Maven Toys Saltillo 1
23,Mr. Potatohead,Toys,26,7,2026-02-18,Maven Toys Saltillo 1
24,Nerf Gun,Sports & Outdoors,20,6,2026-02-12,Maven Toys Saltillo 1
25,PlayDoh Can,Art & Crafts,18,5,2025-12-20,Maven Toys Saltillo 1
26,PlayDoh Playset,Art & Crafts,10,5,2026-01-25,Maven Toys Saltillo 1
27,PlayDoh Toolkit,Art & Crafts,19,5,2026-01-27,Maven Toys Saltillo 1
28,Playfoam,Art & Crafts,6,5,2026-02-09,Maven Toys Saltillo 1
29,Plush Pony,Toys,20,6,2026-01-22,Maven Toys Saltillo 1
30,Rubik's Cube,Games,28,8,2026-02-03,Maven Toys Saltillo 1
31,Splash Balls,Sports & Outdoors,35,10,2026-01-22,Maven Toys Saltillo 1
32,Supersoaker Water Gun,Sports & Outdoors,6,5,2026-02-18,Maven Toys Saltillo 1
33,Teddy Bear,Toys,2,5,2026-02-07,Maven Toys Saltillo 1
34,Toy Robot,Electronics,0,5,2026-01-23,Maven Toys Saltillo 1
35,Uno Card Game,Games,4,5,2026-02-10,Maven Toys Saltillo 1
1,Action Figure,Toys,8,5,2026-02-03,Maven Toys La Paz 1
2,Animal Figures,Toys,14,5,2025-12-31,Maven Toys La Paz 1
3,Barrel O' Slime,Art & Crafts,3,5,2025-12-27,Maven Toys La Paz 1
6,Colorbuds,Electronics,12,5,2025-12-31,Maven Toys La Paz 1
7,Dart Gun,Sports & Outdoors,30,9,2026-02-11,Maven Toys La Paz 1
8,Deck Of Cards,Games,27,8,2026-01-12,Maven Toys La Paz 1
9,Dino Egg,Toys,31,9,2026-02-16,Maven Toys La Paz 1
10,Dinosaur Figures,Toys,39,11,2026-01-25,Maven Toys La Paz 1
11,Etch A Sketch,Art & Crafts,0,5,2026-01-21,Maven Toys La Paz 1
12,Foam Disk Launcher,Sports & Outdoors,0,5,2026-02-05,Maven Toys La Paz 1
13,Gamer Headphones,Electronics,17,5,2026-01-28,Maven Toys La Paz 1
14,Glass Marbles,Games,14,5,2026-01-21,Maven Toys La Paz 1
15,Hot Wheels 5-Pack,Toys,0,5,2026-02-18,Maven Toys La Paz 1
17,Kids Makeup Kit,Art & Crafts,7,5,2026-02-05,Maven Toys La Paz 1
18,Lego Bricks,Toys,9,5,2026-01-30,Maven Toys La Paz 1
19,Magic Sand,Art & Crafts,18,5,2026-02-11,Maven Toys La Paz 1
21,Mini Ping Pong Set,Sports & Outdoors,0,5,2026-01-03,Maven Toys La Paz 1
23,Mr. Potatohead,Toys,11,5,2026-02-03,Maven Toys La Paz 1
24,Nerf Gun,Sports & Outdoors,60,18,2026-01-31,Maven Toys La Paz 1
25,PlayDoh Can,Art & Crafts,9,5,2026-01-28,Maven Toys La Paz 1
26,PlayDoh Playset,Art & Crafts,4,5,2026-02-13,Maven Toys La Paz 1
27,PlayDoh Toolkit,Art & Crafts,45,13,2025-10-31,Maven Toys La Paz 1
28,Playfoam,Art & Crafts,0,5,2025-12-24,Maven Toys La Paz 1
29,Plush Pony,Toys,8,5,2026-01-29,Maven Toys La Paz 1
30,Rubik's Cube,Games,39,11,2026-01-22,Maven Toys La Paz 1
31,Splash Balls,Sports & Outdoors,31,9,2026-02-18,Maven Toys La Paz 1
32,Supersoaker Water Gun,Sports & Outdoors,10,5,2026-01-21,Maven Toys La Paz 1
33,Teddy Bear,Toys,17,5,2026-02-15,Maven Toys La Paz 1
34,Toy Robot,Electronics,10,5,2026-02-02,Maven Toys La Paz 1
1,Action Figure,Toys,0,5,2026-02-07,Maven Toys Mexicali 1
2,Animal Figures,Toys,47,14,2025-11-22,Maven Toys Mexicali 1
3,Barrel O' Slime,Art & Crafts,20,6,2026-02-13,Maven Toys Mexicali 1
4,Chutes & Ladders,Games,14,5,2026-02-10,Maven Toys Mexicali 1
5,Classic Dominoes,Games,8,5,2025-11-22,Maven Toys Mexicali 1
6,Colorbuds,Electronics,32,9,2026-01-29,Maven Toys Mexicali 1
7,Dart Gun,Sports & Outdoors,18,5,2026-01-22,Maven Toys Mexicali 1
8,Deck Of Cards,Games,50,15,2025-12-22,Maven Toys Mexicali 1
9,Dino Egg,Toys,3,5,2026-01-27,Maven Toys Mexicali 1
10,Dinosaur Figures,Toys,52,15,2026-02-16,Maven Toys Mexicali 1
11,Etch A Sketch,Art & Crafts,20,6,2026-01-25,Maven Toys Mexicali 1
12,Foam Disk Launcher,Sports & Outdoors,2,5,2026-01-28,Maven Toys Mexicali 1
13,Gamer Headphones,Electronics,2,5,2026-02-11,Maven Toys Mexicali 1
14,Glass Marbles,Games,11,5,2026-02-01,Maven Toys Mexicali 1
15,Hot Wheels 5-Pack,Toys,11,5,2026-01-28,Maven Toys Mexicali 1
16,Jenga,Games,10,5,2026-01-23,Maven Toys Mexicali 1
17,Kids Makeup Kit,Art & Crafts,22,6,2026-01-24,Maven Toys Mexicali 1
18,Lego Bricks,Toys,11,5,2026-01-19,Maven Toys Mexicali 1
19,Magic Sand,Art & Crafts,39,11,2026-01-28,Maven Toys Mexicali 1
20,Mini Basketball Hoop,Sports & Outdoors,9,5,2026-01-21,Maven Toys Mexicali 1
21,Mini Ping Pong Set,Sports & Outdoors,36,10,2026-01-24,Maven Toys Mexicali 1
22,Monopoly,Games,5,5,2025-12-26,Maven Toys Mexicali 1
23,Mr. Potatohead,Toys,15,5,2026-01-22,Maven Toys Mexicali 1
24,Nerf Gun,Sports & Outdoors,15,5,2026-01-25,Maven Toys Mexicali 1
25,PlayDoh Can,Art & Crafts,62,18,2026-01-30,Maven Toys Mexicali 1
26,PlayDoh Playset,Art & Crafts,7,5,2026-02-05,Maven Toys Mexicali 1
27,PlayDoh Toolkit,Art & Crafts,37,11,2026-01-08,Maven Toys Mexicali 1
28,Playfoam,Art & Crafts,2,5,2026-01-05,Maven Toys Mexicali 1
29,Plush Pony,Toys,10,5,2026-02-17,Maven Toys Mexicali 1
30,Rubik's Cube,Games,67,20,2026-01-28,Maven Toys Mexicali 1
31,Splash Balls,Sports & Outdoors,17,5,2026-01-24,Maven Toys Mexicali 1
32,Supersoaker Water Gun,Sports & Outdoors,7,5,2026-01-21,Maven Toys Mexicali 1
33,Teddy Bear,Toys,7,5,2025-12-25,Maven Toys Mexicali 1
34,Toy Robot,Electronics,8,5,2026-01-30,Maven Toys Mexicali 1
35,Uno Card Game,Games,3,5,2026-02-04,Maven Toys Mexicali 1
1,Action Figure,Toys,14,5,2026-01-22,Maven Toys Monterrey 2
2,Animal Figures,Toys,7,5,2026-02-11,Maven Toys Monterrey 2
3,Barrel O' Slime,Art & Crafts,10,5,2026-01-08,Maven Toys Monterrey 2
4,Chutes & Ladders,Games,17,5,2025-11-12,Maven Toys Monterrey 2
5,Classic Dominoes,Games,19,5,2026-02-06,Maven Toys Monterrey 2
6,Colorbuds,Electronics,10,5,2026-01-20,Maven Toys Monterrey 2
7,Dart Gun,Sports & Outdoors,1,5,2026-01-27,Maven Toys Monterrey 2
8,Deck Of Cards,Games,46,13,2026-02-03,Maven Toys Monterrey 2
9,Dino Egg,Toys,0,5,2025-10-22,Maven Toys Monterrey 2
10,Dinosaur Figures,Toys,36,10,2026-01-01,Maven Toys Monterrey 2
11,Etch A Sketch,Art & Crafts,7,5,2026-01-01,Maven Toys Monterrey 2
12,Foam Disk Launcher,Sports & Outdoors,38,11,2026-01-27,Maven Toys Monterrey 2
13,Gamer Headphones,Electronics,20,6,2026-01-24,Maven Toys Monterrey 2
14,Glass Marbles,Games,3,5,2025-11-28,Maven Toys Monterrey 2
15,Hot Wheels 5-Pack,Toys,3,5,2026-02-07,Maven Toys Monterrey 2
16,Jenga,Games,6,5,2026-01-24,Maven Toys Monterrey 2
17,Kids Makeup Kit,Art & Crafts,4,5,2025-11-04,Maven Toys Monterrey 2
18,Lego Bricks,Toys,31,9,2026-01-20,Maven Toys Monterrey 2
19,Magic Sand,Art & Crafts,24,7,2026-01-25,Maven Toys Monterrey 2
20,Mini Basketball Hoop,Sports & Outdoors,7,5,2026-01-29,Maven Toys Monterrey 2
21,Mini Ping Pong Set,Sports & Outdoors,49,14,2026-01-21,Maven Toys Monterrey 2
22,Monopoly,Games,8,5,2026-01-15,Maven Toys Monterrey 2
23,Mr. Potatohead,Toys,9,5,2026-01-27,Maven Toys Monterrey 2
24,Nerf Gun,Sports & Outdoors,25,7,2026-01-24,Maven Toys Monterrey 2
25,PlayDoh Can,Art & Crafts,10,5,2026-02-14,Maven Toys Monterrey 2
26,PlayDoh Playset,Art & Crafts,16,5,2026-01-21,Maven Toys Monterrey 2
27,PlayDoh Toolkit,Art & Crafts,48,14,2026-02-14,Maven Toys Monterrey 2
