product_id,product_name,category,current_stock,min_stock_level,last_movement_date,warehouse_name
P0001,Laptop,Electronics,107,29,2026-01-20,Warehouse North
P0002,Laptop,Electronics,25,16,2025-11-01,Warehouse South
P0003,Laptop,Electronics,2,13,2026-01-13,Warehouse East
P0004,Monitor,Electronics,92,21,2025-11-16,Warehouse North
P0005,Monitor,Electronics,25,10,2026-02-06,Warehouse South
P0006,Monitor,Electronics,93,26,2026-01-21,Warehouse East
P0007,Keyboard,Electronics,19,24,2026-01-29,Warehouse North
P0008,Keyboard,Electronics,68,12,2026-02-09,Warehouse South
P0009,Keyboard,Electronics,22,13,2026-01-23,Warehouse East
P0010,Mouse,Electronics,13,11,2026-02-11,Warehouse North
P0011,Mouse,Electronics,12,24,2026-01-31,Warehouse South
P0012,Mouse,Electronics,108,13,2026-02-08,Warehouse East
P0013,Webcam,Electronics,8,27,2026-02-14,Warehouse North
P0014,Webcam,Electronics,18,25,2026-01-21,Warehouse South
P0015,Webcam,Electronics,44,25,2026-01-25,Warehouse East
P0016,Headphones,Electronics,14,22,2025-11-05,Warehouse North
P0017,Headphones,Electronics,13,10,2026-01-04,Warehouse South
P0018,Headphones,Electronics,85,17,2026-02-13,Warehouse East
P0019,USB Cable,Electronics,45,16,2026-02-17,Warehouse North
P0020,USB Cable,Electronics,52,14,2026-01-22,Warehouse South
P0021,USB Cable,Electronics,39,10,2026-02-15,Warehouse East
P0022,HDMI Cable,Electronics,5,14,2026-02-11,Warehouse North
P0023,HDMI Cable,Electronics,31,18,2025-10-30,Warehouse South
P0024,HDMI Cable,Electronics,67,16,2026-02-14,Warehouse East
P0025,Power Bank,Electronics,147,20,2026-02-11,Warehouse North
P0026,Power Bank,Electronics,90,11,2026-01-28,Warehouse South
P0027,Power Bank,Electronics,138,21,2026-02-07,Warehouse East
P0028,Speaker,Electronics,132,16,2026-01-22,Warehouse North
P0029,Speaker,Electronics,125,29,2026-02-12,Warehouse South
P0030,Speaker,Electronics,141,14,2026-01-25,Warehouse East
P0031,Printer Paper,Office Supplies,364,81,2026-02-01,Warehouse North
P0032,Printer Paper,Office Supplies,367,98,2026-02-11,Warehouse South
P0033,Printer Paper,Office Supplies,435,52,2026-02-01,Warehouse East
P0034,Pens,Office Supplies,236,98,2026-01-26,Warehouse North
P0035,Pens,Office Supplies,273,82,2026-01-28,Warehouse South
P0036,Pens,Office Supplies,221,75,2026-02-14,Warehouse East
P0037,Notebooks,Office Supplies,488,60,2026-02-12,Warehouse North
P0038,Notebooks,Office Supplies,329,54,2026-02-07,Warehouse South
P0039,Notebooks,Office Supplies,289,65,2026-02-12,Warehouse East
P0040,Stapler,Office Supplies,398,52,2026-01-30,Warehouse North
P0041,Stapler,Office Supplies,395,52,2026-02-11,Warehouse South
P0042,Stapler,Office Supplies,357,90,2026-01-31,Warehouse East
P0043,Folders,Office Supplies,409,50,2026-01-31,Warehouse North
P0044,Folders,Office Supplies,200,80,2026-01-21,Warehouse South
P0045,Folders,Office Supplies,193,75,2026-02-01,Warehouse East
