Sale_ID,Date,Store_ID,Product_ID,Units
1,01-01-2017,24,4,1
2,01-01-2017,28,1,1
3,01-01-2017,6,8,1
4,01-01-2017,48,7,1
5,01-01-2017,44,18,1
6,01-01-2017,1,31,1
7,01-01-2017,40,7,1
8,01-01-2017,19,2,1
9,01-01-2017,38,21,1
10,01-01-2017,21,8,1
11,01-01-2017,6,8,1
12,01-01-2017,34,8,1
13,01-01-2017,37,8,2
14,01-01-2017,38,9,1
15,01-01-2017,5,31,1
16,01-01-2017,34,24,1
17,01-01-2017,8,8,1
18,01-01-2017,6,8,1
19,01-01-2017,8,8,1
20,01-01-2017,3,24,2
21,01-01-2017,5,31,1
22,01-01-2017,33,27,1
23,01-01-2017,3,8,1
24,01-01-2017,30,24,1
25,01-01-2017,4,20,1
26,01-01-2017,41,8,1
27,01-01-2017,34,31,1
28,01-01-2017,10,35,1
29,01-01-2017,16,35,1
30,01-01-2017,34,18,3
31,01-01-2017,34,8,1
32,01-01-2017,4,20,1
33,01-01-2017,5,31,1
34,01-01-2017,36,1,1
35,01-01-2017,39,34,3
36,01-01-2017,5,21,1
37,01-01-2017,33,27,1
38,01-01-2017,32,8,4
39,01-01-2017,25,9,1
40,01-01-2017,46,6,1
41,01-01-2017,23,14,1
42,01-01-2017,33,27,1
43,01-01-2017,50,5,1
44,01-01-2017,12,7,1
45,01-01-2017,41,8,3
46,01-01-2017,12,8,1
47,01-01-2017,30,1,3
48,01-01-2017,38,21,1
49,01-01-2017,50,24,1
50,01-01-2017,22,30,1
51,01-01-2017,21,8,1
52,01-01-2017,48,7,1
53,01-01-2017,8,8,1
54,01-01-2017,50,6,1
55,01-01-2017,33,27,1
56,01-01-2017,41,8,2
57,01-01-2017,46,6,1
58,01-01-2017,16,8,1
59,01-01-2017,41,1,1
60,01-01-2017,37,18,1
61,01-01-2017,36,1,1
62,01-01-2017,21,8,1
63,01-01-2017,36,1,1
64,01-01-2017,34,18,2
65,01-01-2017,5,31,1
66,01-01-2017,24,4,1
67,01-01-2017,33,33,1
68,01-01-2017,48,9,1
69,01-01-2017,33,33,1
70,01-01-2017,37,31,1
71,01-01-2017,27,8,1
72,01-01-2017,19,6,2
73,01-01-2017,44,2,1
74,01-01-2017,30,24,1
75,01-01-2017,34,24,1
76,01-01-2017,19,6,2
77,01-01-2017,21,1,1
78,01-01-2017,41,8,3
79,01-01-2017,7,9,1
80,01-01-2017,7,4,1
81,01-01-2017,7,9,1
82,01-01-2017,50,24,1
83,01-01-2017,5,8,1
84,01-01-2017,8,20,1
85,01-01-2017,47,8,1
86,01-01-2017,33,33,1
87,01-01-2017,1,31,1
88,01-01-2017,47,8,1
89,01-01-2017,12,6,3
90,01-01-2017,49,5,1
91,01-01-2017,16,8,1
92,01-01-2017,7,9,1
93,01-01-2017,10,35,1
94,01-01-2017,37,22,1
95,01-01-2017,41,8,2
96,01-01-2017,10,8,1
97,01-01-2017,42,27,1
98,01-01-2017,24,4,1
99,01-01-2017,33,27,1
100,01-01-2017,5,21,1
101,01-01-2017,5,8,1
102,01-01-2017,16,35,1
103,01-01-2017,8,8,1
104,01-01-2017,5,7,1
105,01-01-2017,36,14,3
106,01-01-2017,24,31,1
107,01-01-2017,12,8,1
108,01-01-2017,47,31,1
109,01-01-2017,29,2,1
110,01-01-2017,18,10,1
111,01-01-2017,50,5,1
112,01-01-2017,49,5,1
113,01-01-2017,34,8,1
114,01-01-2017,10,35,1
115,01-01-2017,30,6,3
116,01-01-2017,46,6,1
117,01-01-2017,47,31,1
118,01-01-2017,16,30,1
119,01-01-2017,41,1,1
120,01-01-2017,9,27,1
121,01-01-2017,12,7,1
122,01-01-2017,44,18,1
123,01-01-2017,24,31,1
124,01-01-2017,44,18,1
125,01-01-2017,7,31,1
126,01-01-2017,32,8,4
127,01-01-2017,21,17,3
128,01-01-2017,24,4,1
129,01-01-2017,18,10,1
130,01-01-2017,5,8,1
131,01-01-2017,48,2,1
132,01-01-2017,49,5,1
